"IT","EN"
"mestiere dell’attrice","profession of the actress"
"infanzia e adolescenza","childhood and adolescence"
"famiglia","family"
"relazione con la realtà","relation with reality"
"autodeterminazione","self-determination"
"eventi storici","historical events"
"sentimenti e stati d animo","feelings and moods"
"corpo","body"
"casa","home"
"relazione con gli uomini","relation with man"
"malinconia","meloncholy"
"scrivere","writing"
"performance di sé","self-performance"
"relazione con il mondo naturale","relation with the natural world"
"invecchiamento","aging"
"politica","politics"
"relazione con le donne","relation with women"
"eventi della vita","life events"
"dimensione spirituale","spiritual dimension"
"teatro","theater"
"formazione","education"
"prima esperienza teatrale","first theatrical experience"
"conflitto","conflict"
"fatica","fatigue"
"critica","criticism"
"scrittori","writers"
"autonomia","autonomy"
"fascismo","fascism"
"festival","festival"
"esordio cinematografico","cinematographic debut"
"rimpianto","regret"
"cibo","food"
"descrizione fisica","physical description"
"figli e figlie","sons and daughters"
"bagno","bath"
"amore e passione","love and passion"
"bocca","mouth"
"casa d’infanzia","childhood home"
"gestione del proprio destino","managing your own destiny"
"camerino","dressing room"
"abiti","clothes"
"depressione","depression"
"oggetti quotidiani","daily objects"
"scrittura-terapia","writing-therapy"
"dolore","pain"
"desiderio di libertà","desire for freedom"
"amore","love"
"genitori","parents"
"amiche d’infanzia","childhood friends"
"cura e accudimento","care and looking after"
"disturbi del comportamento alimentare","eating behaviour disorders"
"abbandono","abandonment"
"madre","mother"
"casa-prigione","home-prison"
"abusi","abuse"
"autenticità","authenticity"
"amicizia","friendship"
"nudo","naked"
"emancipazione (dai ruoli di moglie e di madre)","emancipation (from the roles of wife and mother)"
"dimenticare","forgetting"
"essere sole (solitudine come atto di autoderminazione)","being alone (solitude as an act of self-determination)"
"erotismo","eroticism"
"bellezza","beauty"
"analista","analyst"
"letteratura","literature"
"educazione in famiglia","family education"
"autorialità","autorship"
"alberi","trees"
"palcoscenico","stage"
"educazione religiosa","religious education"
"attori","actors"
"artisti","artists"
"animali domestici","pets"
"essere donna","being a woman"
"chirurgia estetica","cosmetic surgery"
"cinema muto","silent cinema"
"felicità","happiness"
"esperienza","experience"
"film","movie"
"arte","art"
"partner","partner"
"impegno civico e sociale","civic and social commitment"
"relazione con altre attrici","relationship with other actresses"
"case di produzione","production houses"
"fine carriera","career end"
"pensiero","thought"
"essere un altra","being another"
"attrice per caso","actress by chance"
"fiori","flowers"
"alcol","alcohol"
"interviste","interviews"
"complicità","complicity"
"angoscia","anguish"
"desiderio e attrazione","desire and attraction"
"essere diva","being a diva"
"tratti maschili","masculine traits"
"conflitto come affermazione del sé","conflict as an affirmation of the self"
"personagge","personagge"
"recitare","reciting"
"specchio","mirror"
"giochi","games"
"antidiva","anti-diva"
"immaginazione","imagination"
"allattamento","breastfeeding"
"memoria","memory"
"musica","music"
"aborto","abortion"
"liberazione dal nazifascismo","Liberation from nazi-fascism"
"antifascismo","anti-fascism"
"esordio teatrale","theatrical debut"
"cinecittà","cinecittà"
"seconda guerra mondiale","second world war"
"paura","fear"
"competizione","competition"
"attività nella resistenza","activities in the resistance"
"droghe","drugs"
"contratti","contracts"
"autodidatta","self-taught"
"premi","prizes"
"guardare","watching"
"stampa e tv","press and television"
"fare cinema","making cinema"
"bruttezza","ugliness"
"primi amori","first loves"
"scrittura-libertà","writing-freedom"
"religione","religion"
"scuola","school"
"calze","socks"
"accettare","accepting"
"provino","audition"
"fotogenia","photogenicity"
"ricordare","remembering"
"maternità","maternity"
"mare","sea"
"produttore","producer"
"marito","husband"
"industria cinematografica","movie industry"
"jet-set","jet-set"
"abito da sera","evening dress"
"divorzio","divorce"
"sesso","sex"
"gravidanza","pregnancy"
"registi","directors"
"morte della madre","death of the mother"
"sensualità","sensuality"
"sentire","to feel"
"vicende processuali","legal proceedings"
"delusione","disappointment"
"disagio","unease"
"concentrazione","concentration"
"immaginario","imaginary"
"denaro come emancipazione","money as emancipation"
"proposta di matrimonio","marriage proposal"
"educazione patriarcale","patriarchal education"
"femminismo","feminism"
"gelosia","jealousy"
"entrata nella politica parlamentare","entry into parliamentary politics"
"fine della carriera","end of the career"
"chiesa","church"
"fede","faith"
"ansia","anxiety"
"amori impossibili","impossible loves"
"insonnia","insomnia"
"verità","truth"
"vocazione","vocation"
"comicità","comedy"
"morte di Marilyn Monroe","death of Marilyn Monroe"
"morte del padre","death of the Father"
"casa-rifugio","home-haven"
"cucina","kitchen"
"inventare","inventing"
"sceneggiatura","screenplay"
"trucco e travestimento","make-up and disguise"
"solitudine","loneliness"
"violenza sessuale","sexual violence"
"trasgressione","transgression"
"misure","measures"
"sofferenza psichica","psychic suffering"
"animali selvaggi","wild animals"
"macchina da presa","camera"
"seno","bosom"
"parità","equality"
"concorsi di bellezza","beauty contests"
"relazione pigmalionica","pygmalion relationship"
"giardino","garden"
"matrimonio","marriage"
"trauma","trauma"
"sognare","dreaming"
"set","set"
"seduzione","seduction"
"tacchi","heels"
"sguardo maschile","male gaze"
"pubblicità","advertising"
"vergogna","shame"
"fandom","fandom"
"nascita dei figli","birth of children"
"metamorfosi","metamorphosis"
"roma","Rome"
"spiritualità","spirituality"
"infelicità","unhappiness"
"viaggiare","travelling"
"faccende domestiche","household chores"
"vita retrospettiva","retrospective life"
"viaggi","trips"
"isola","island"
"sensorialità","sensoriality"
"prima guerra mondiale","first world war"
"morte di amici cari","death of dear friends"
"fuori quadro","out of picture"
"schiaffo","slap"
"vita di coppia","couple life"
"trasformazione del corpo","transformation of the body"
"salute","health"
"propria nascita","their own birth"
"morte del marito","death of the husband"
"gioco","game"
"prove","evidence"
"resistenza","resistence"
"testimonial","testimonial"
"fuga","escape"
"gioielli","jewels"
"figli adulti","grown-up children"
"televisione","television"
"padre","father"
"femminismo seconda ondata","second wave feminism"
"sentirsi sole","feeling alone"
"movimento del sessantotto","movement of the sixty-eight"
"perdere","losing"
"mostruosità","monstrosity"
"fratelli","brothers"
"tempo per sé","time for themself"
"piedi","feet"
"perdere la casa","losing home"
"radio","radio"
"sorelle","sisters"
"psicofarmaci","psychotropic medications"
"semplicità","simplicity"
"scelte","choices"
"mestruazioni","menstruation"
"referendum sul divorzio","referendum on divorce"
"violenza","violence"
"suicidio","suicide"
"sguardo cinematografico","cinematographic gaze"
"risentimento","resentment"
"sessismo","sexism"
"scandali","scandals"
"gioia","joy"
"spettatrice","spectator"
"occhi","eyes"
"suore","nuns"
"tangentopoli","tangentopoli"
"tradimenti","betrayals"
"ironia","irony"
"referendum sull’aborto","referendum on abortion"
"nozze","wedding"
"rabbia","anger"
